year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
2070,482.54,1.82,6.35,5.30,3.45,0.70,0.15,0.16,16.11,3.59,4.34,0.74,4.96,4.46,8.10,221.84,973.84,597.84,133.41,228.41,180.91,-92.43,-1.43,-46.93,262.83,1200.83,731.83,1693.17,2593.17,2143.17,504.48,704.48,604.48,2197.65,3297.65,2747.65,40673.50,989.31,1650.00
2069,480.95,1.80,6.30,5.27,3.42,0.69,0.15,0.16,15.99,3.58,4.33,0.75,4.93,4.42,8.04,225.29,977.29,601.29,139.76,234.76,187.26,-87.12,3.88,-41.62,277.93,1215.93,746.93,1689.30,2589.30,2139.30,503.39,703.39,603.39,2192.69,3292.69,2742.69,40669.04,981.21,1651.00
2068,479.36,1.78,6.25,5.23,3.39,0.69,0.15,0.16,15.87,3.56,4.32,0.76,4.89,4.39,7.98,228.71,980.71,604.71,146.06,241.06,193.56,-81.85,9.15,-36.35,292.91,1230.91,761.91,1685.46,2585.46,2135.46,502.31,702.31,602.31,2187.77,3287.77,2737.77,40664.62,973.17,1652.00
2067,477.77,1.76,6.20,5.20,3.36,0.68,0.15,0.16,15.74,3.54,4.31,0.76,4.86,4.36,7.93,232.10,984.10,608.10,152.31,247.31,199.81,-76.62,14.38,-31.12,307.79,1245.79,776.79,1681.64,2581.64,2131.64,501.23,701.23,601.23,2182.88,3282.88,2732.88,40660.23,965.18,1653.00
2066,476.18,1.74,6.15,5.16,3.33,0.67,0.15,0.16,15.62,3.53,4.30,0.77,4.82,4.33,7.87,235.46,987.46,611.46,158.51,253.51,206.01,-71.43,19.57,-25.93,322.54,1260.54,791.54,1677.86,2577.86,2127.86,500.16,700.16,600.16,2178.02,3278.02,2728.02,40655.87,957.26,1654.00
2065,474.59,1.72,6.11,5.12,3.30,0.67,0.15,0.15,15.50,3.51,4.29,0.78,4.79,4.30,7.81,238.79,990.79,614.79,164.67,259.67,212.17,-66.27,24.73,-20.77,337.19,1275.19,806.19,1674.09,2574.09,2124.09,499.10,699.10,599.10,2173.20,3273.20,2723.20,40651.54,949.39,1655.00
2064,473.00,1.70,6.06,5.09,3.27,0.66,0.15,0.15,15.38,3.49,4.28,0.79,4.75,4.26,7.75,242.09,994.09,618.09,170.77,265.77,218.27,-61.14,29.86,-15.64,351.72,1289.72,820.72,1670.36,2570.36,2120.36,498.05,698.05,598.05,2168.41,3268.41,2718.41,40647.25,941.58,1656.00
2063,471.42,1.69,6.01,5.05,3.24,0.65,0.15,0.15,15.25,3.48,4.27,0.79,4.72,4.23,7.69,245.36,997.36,621.36,176.83,271.83,224.33,-56.05,34.95,-10.55,366.13,1304.13,835.13,1666.66,2566.66,2116.66,497.01,697.01,597.01,2163.66,3263.66,2713.66,40642.98,933.83,1657.00
2062,469.83,1.67,5.96,5.02,3.21,0.65,0.14,0.15,15.13,3.46,4.26,0.80,4.68,4.20,7.63,248.60,1000.60,624.60,182.84,277.84,230.34,-51.00,40.00,-5.50,380.43,1318.43,849.43,1662.98,2562.98,2112.98,495.97,695.97,595.97,2158.94,3258.94,2708.94,40638.75,926.14,1658.00
2061,468.24,1.65,5.91,4.98,3.18,0.64,0.14,0.15,15.01,3.44,4.25,0.81,4.65,4.17,7.57,251.81,1003.81,627.81,188.80,283.80,236.30,-45.99,45.01,-0.49,394.62,1332.62,863.62,1659.33,2559.33,2109.33,494.94,694.94,594.94,2154.26,3254.26,2704.26,40634.55,918.51,1659.00
2060,466.65,1.63,5.86,4.94,3.15,0.64,0.14,0.15,14.88,3.43,4.24,0.81,4.61,4.13,7.51,254.99,1006.99,630.99,194.71,289.71,242.21,-41.01,49.99,4.49,408.69,1346.69,877.69,1655.70,2555.70,2105.70,493.92,693.92,593.92,2149.62,3249.62,2699.62,40630.39,910.94,1660.00
2059,465.06,1.61,5.81,4.91,3.12,0.63,0.14,0.15,14.76,3.41,4.23,0.82,4.58,4.10,7.45,258.14,1010.14,634.14,200.57,295.57,248.07,-36.06,54.94,9.44,422.65,1360.65,891.65,1652.10,2552.10,2102.10,492.90,692.90,592.90,2145.01,3245.01,2695.01,40626.26,903.43,1661.00
2058,463.47,1.59,5.77,4.87,3.09,0.62,0.14,0.14,14.64,3.39,4.22,0.83,4.54,4.07,7.40,261.26,1013.26,637.26,206.39,301.39,253.89,-31.15,59.85,14.35,436.49,1374.49,905.49,1648.53,2548.53,2098.53,491.89,691.89,591.89,2140.43,3240.43,2690.43,40622.15,895.97,1662.00
2057,461.88,1.57,5.72,4.84,3.06,0.62,0.14,0.14,14.51,3.37,4.21,0.83,4.51,4.04,7.34,264.35,1016.35,640.35,212.15,307.15,259.65,-26.28,64.72,19.22,450.22,1388.22,919.22,1644.99,2544.99,2094.99,490.90,690.90,590.90,2135.89,3235.89,2685.89,40618.09,888.58,1663.00
2056,460.29,1.56,5.67,4.80,3.03,0.61,0.14,0.14,14.39,3.36,4.20,0.84,4.47,4.00,7.28,267.41,1019.41,643.41,217.87,312.87,265.37,-21.44,69.56,24.06,463.84,1401.84,932.84,1641.48,2541.48,2091.48,489.90,689.90,589.90,2131.38,3231.38,2681.38,40614.05,881.24,1664.00
2055,458.71,1.54,5.62,4.76,3.00,0.60,0.14,0.14,14.27,3.34,4.19,0.85,4.44,3.97,7.22,270.44,1022.44,646.44,223.54,318.54,271.04,-16.64,74.36,28.86,477.34,1415.34,946.34,1637.99,2537.99,2087.99,488.92,688.92,588.92,2126.91,3226.91,2676.91,40610.05,873.96,1665.00
2054,457.12,1.52,5.57,4.73,2.97,0.60,0.14,0.14,14.14,3.32,4.18,0.85,4.40,3.94,7.16,273.44,1025.44,649.44,229.16,324.16,276.66,-11.88,79.12,33.62,490.72,1428.72,959.72,1634.53,2534.53,2084.53,487.94,687.94,587.94,2122.47,3222.47,2672.47,40606.08,866.75,1666.00
2053,455.53,1.50,5.52,4.69,2.94,0.59,0.14,0.14,14.02,3.31,4.17,0.86,4.37,3.91,7.10,276.41,1028.41,652.41,234.74,329.74,282.24,-7.15,83.85,38.35,503.99,1441.99,972.99,1631.09,2531.09,2081.09,486.98,686.98,586.98,2118.07,3218.07,2668.07,40602.14,859.59,1667.00
2052,453.94,1.48,5.48,4.66,2.91,0.58,0.13,0.13,13.90,3.29,4.16,0.87,4.33,3.87,7.04,279.35,1031.35,655.35,240.26,335.26,287.76,-2.46,88.54,43.04,517.15,1455.15,986.15,1627.69,2527.69,2077.69,486.01,686.01,586.01,2113.70,3213.70,2663.70,40598.23,852.48,1668.00
2051,452.35,1.46,5.43,4.62,2.88,0.58,0.13,0.13,13.77,3.27,4.15,0.87,4.30,3.84,6.98,282.26,1034.26,658.26,245.74,340.74,293.24,2.20,93.20,47.70,530.20,1468.20,999.20,1624.31,2524.31,2074.31,485.06,685.06,585.06,2109.37,3209.37,2659.37,40594.36,845.44,1669.00
2050,450.76,1.44,5.38,4.58,2.85,0.57,0.13,0.13,13.65,3.26,4.14,0.88,4.26,3.81,6.92,285.14,1037.14,661.14,251.16,346.16,298.66,6.82,97.82,52.32,543.12,1481.12,1012.12,1620.96,2520.96,2070.96,484.12,684.12,584.12,2105.07,3205.07,2655.07,40590.51,838.46,1670.00
